Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0872,"1X",1.69,"pinnacle",3.33,8.37,5.04,1.6028,2.85,3.75,2.2,7.21
"FC Cincinnati vs Inter Miami CF","2025-11-23 17:00",1.5135,0.0448,"X2",1.42,"pinnacle",3.33,8.37,5.04,1.3752,2.85,3.75,2.2,7.21
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.0438,"1X",1.27,"pinnacle",3.49,8.29,4.8,1.2262,1.85,3.7,3.8,7.4
"Philadelphia Union vs New York City FC","2025-11-23 19:45",1.3754,0.1122,"X2",1.95,"pinnacle",3.49,8.29,4.8,1.8378,1.85,3.7,3.8,7.4
"AS Monaco vs Paris Saint Germain","2025-11-29 11:00",1.3509,0.052,"X2",1.19,"marathonbet",3.22,7.57,4.35,1.138,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.085,"1X",1.78,"pinnacle",3.36,7.89,4.53,1.695,,,,
"SC Telstar vs FC Utrecht","2025-11-23 08:30",1.3482,0.0533,"X2",1.36,"pinnacle",3.36,7.89,4.53,1.3067,,,,
"Marseille vs Toulouse","2025-11-29 15:05",1.3206,0.032,"1X",1.17,"marathonbet",3.15,7.31,4.16,1.138,,,,
"Marseille vs Toulouse","2025-11-29 15:05",1.3206,0.13,"X2",2.35,"marathonbet",3.15,7.31,4.16,2.22,,,,
"Metz vs Rennes","2025-11-28 14:45",1.2839,0.072,"1X",1.85,"marathonbet",3.17,7.24,4.07,1.778,,,,
"Metz vs Rennes","2025-11-28 14:45",1.2839,0.042,"X2",1.31,"marathonbet",3.17,7.24,4.07,1.268,,,,
"Paris FC vs Auxerre","2025-11-29 13:00",1.2799,0.038,"1X",1.24,"marathonbet",3.18,7.25,4.07,1.202,,,,
"Paris FC vs Auxerre","2025-11-29 13:00",1.2799,0.102,"X2",2.06,"marathonbet",3.18,7.25,4.07,1.958,,,,
"Werder Bremen vs 1. FC Köln","2025-11-29 09:30",1.2684,0.046,"1X",1.43,"marathonbet",3.13,7.1,3.97,1.384,,,,
"Werder Bremen vs 1. FC Köln","2025-11-29 09:30",1.2684,0.048,"X2",1.68,"marathonbet",3.13,7.1,3.97,1.632,,,,
"San Diego FC vs Minnesota United FC","2025-11-24 22:00",1.2344,0.0416,"1X",1.19,"pinnacle",3.84,8.58,4.74,1.1484,1.62,4.2,4.6,7.28
"San Diego FC vs Minnesota United FC","2025-11-24 22:00",1.2344,0.1535,"X2",2.35,"pinnacle",3.84,8.58,4.74,2.1965,1.62,4.2,4.6,7.28
"Getafe vs Elche CF","2025-11-28 15:00",1.2219,0.042,"1X",1.29,"marathonbet",3.2,7.11,3.91,1.248,,,,
"Getafe vs Elche CF","2025-11-28 15:00",1.2219,0.072,"X2",1.7,"marathonbet",3.2,7.11,3.91,1.628,,,,
"Groningen vs FC Zwolle","2025-11-23 10:45",1.2158,0.1167,"X2",2.43,"pinnacle",3.66,8.11,4.45,2.3133,,,,
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.075,"1X",1.71,"pinnacle",3.43,7.58,4.15,1.635,,,,
"Heerenveen vs AZ Alkmaar","2025-11-23 06:15",1.2099,0.055,"X2",1.43,"pinnacle",3.43,7.58,4.15,1.375,,,,
"TSG Hoffenheim vs Augsburg","2025-11-29 09:30",1.1889,0.0331,"1X",1.23,"marathonbet",3.07,6.72,3.65,1.1969,1.7,4.1,4.4,5.94
"Levante vs Athletic Bilbao","2025-11-29 12:30",1.1853,0.086,"1X",1.87,"marathonbet",3.13,6.84,3.71,1.784,,,,
"Levante vs Athletic Bilbao","2025-11-29 12:30",1.1853,0.024,"X2",1.28,"marathonbet",3.13,6.84,3.71,1.256,,,,
"Sport Recife vs Vitoria","2025-11-23 16:30",1.1738,0.0867,"1X",1.71,"pinnacle",3.97,8.63,4.66,1.6233,,,,
"Sport Recife vs Vitoria","2025-11-23 16:30",1.1738,0.0433,"X2",1.34,"pinnacle",3.97,8.63,4.66,1.2967,,,,
"Fenerbahce vs Ferencváros TC","2025-11-27 12:45",1.173,0.0333,"1X",1.16,"betsson",2.89,6.28,3.39,1.1267,,,,
"FC Zwolle vs Heerenveen","2025-11-28 14:00",1.1715,0.0875,"1X",1.63,"betsson",5.13,11.14,6.01,1.5425,,,,
"FC Zwolle vs Heerenveen","2025-11-28 14:00",1.1715,0.0675,"X2",1.41,"betsson",5.13,11.14,6.01,1.3425,,,,
"Everton vs Newcastle United","2025-11-29 12:30",1.1556,0.048,"1X",1.56,"marathonbet",3.15,6.79,3.64,1.512,,,,
"Mallorca vs CA Osasuna","2025-11-29 08:00",1.1066,0.052,"1X",1.39,"marathonbet",3.19,6.72,3.53,1.338,,,,
"Mallorca vs CA Osasuna","2025-11-29 08:00",1.1066,0.036,"X2",1.56,"marathonbet",3.19,6.72,3.53,1.524,,,,
"Borussia Monchengladbach vs RB Leipzig","2025-11-28 14:30",1.0997,0.0488,"X2",1.39,"marathonbet",3.21,6.74,3.53,1.3412,3.0,4.0,2.1,5.95
"Union Berlin vs 1. FC Heidenheim","2025-11-29 09:30",1.0895,0.0327,"1X",1.2,"marathonbet",3.13,6.54,3.41,1.1673,1.72,3.8,4.75,5.51
"Union Berlin vs 1. FC Heidenheim","2025-11-29 09:30",1.0895,0.0765,"X2",2.22,"marathonbet",3.13,6.54,3.41,2.1435,1.72,3.8,4.75,5.51
"Tottenham Hotspur vs Fulham","2025-11-29 15:00",1.0849,0.04,"1X",1.32,"marathonbet",3.18,6.63,3.45,1.28,,,,
"Tottenham Hotspur vs Fulham","2025-11-29 15:00",1.0849,0.062,"X2",1.82,"marathonbet",3.18,6.63,3.45,1.758,,,,
"Sunderland vs Bournemouth","2025-11-29 10:00",1.0786,0.044,"1X",1.59,"marathonbet",3.18,6.61,3.43,1.546,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.0697,0.025,"1X",1.11,"pinnacle",3.73,7.72,3.99,1.085,,,,
"Feyenoord vs NEC Nijmegen","2025-11-23 08:30",1.0697,0.2167,"X2",3.05,"pinnacle",3.73,7.72,3.99,2.8333,,,,
"Brentford vs Burnley","2025-11-29 10:00",1.0556,0.032,"1X",1.14,"marathonbet",3.24,6.66,3.42,1.108,,,,
"Bayer Leverkusen vs Borussia Dortmund","2025-11-29 12:30",1.0278,0.0464,"1X",1.52,"marathonbet",3.24,6.57,3.33,1.4736,2.5,3.7,2.6,5.49
"Cruzeiro vs Corinthians","2025-11-23 18:30",1.0173,0.1079,"X2",2.04,"pinnacle",4.05,8.17,4.12,1.9321,1.82,3.4,4.6,6.1
"Go Ahead Eagles vs VfB Stuttgart","2025-11-27 15:00",1.0069,0.1121,"1X",2.61,"betsson",2.89,5.8,2.91,2.4979,5.5,4.5,1.52,6.19
"Excelsior vs NAC Breda","2025-11-29 10:30",0.9564,0.0632,"1X",1.39,"betsson",4.82,9.43,4.61,1.3268,2.2,3.5,3.1,6.28
"NEC Nijmegen vs Sparta Rotterdam","2025-11-29 15:00",0.9064,0.0547,"1X",1.23,"betsson",5.34,10.18,4.84,1.1753,1.75,4.1,4.1,5.92
"Bragantino-SP vs Fortaleza","2025-11-26 17:00",0.8935,0.055,"1X",1.32,"pinnacle",4.79,9.07,4.28,1.265,,,,
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8819,0.0214,"1X",1.15,"marathonbet",2.88,5.42,2.54,1.1286,1.46,5.0,5.75,5.88
"RB Leipzig vs Werder Bremen","2025-11-23 09:30",0.8819,0.0722,"X2",2.83,"marathonbet",2.88,5.42,2.54,2.7578,1.46,5.0,5.75,5.88
"Getafe vs Atlético Madrid","2025-11-23 12:30",0.8801,0.0717,"1X",2.17,"marathonbet",2.92,5.49,2.57,2.0983,,,,
"Getafe vs Atlético Madrid","2025-11-23 12:30",0.8801,0.0217,"X2",1.18,"marathonbet",2.92,5.49,2.57,1.1583,,,,
"Como vs Sassuolo","2025-11-28 14:45",0.8605,0.096,"X2",2.34,"marathonbet",3.8,7.07,3.27,2.244,,,,
"Parma vs Udinese","2025-11-29 09:00",0.8482,0.048,"X2",1.51,"marathonbet",3.82,7.06,3.24,1.462,,,,
"Inter Milan vs AC Milan","2025-11-23 14:45",0.8448,0.0767,"X2",1.88,"marathonbet",2.77,5.11,2.34,1.8033,,,,
"Fortuna Sittard vs Heracles Almelo","2025-11-29 12:45",0.8424,0.0719,"1X",1.33,"betsson",4.95,9.12,4.17,1.2581,1.93,3.7,3.75,5.51
"Bahia vs Vasco da Gama","2025-11-23 14:00",0.8361,0.117,"X2",2.24,"pinnacle",4.15,7.62,3.47,2.123,1.71,3.8,4.75,5.85
"FC Juárez vs Pachuca","2025-11-23 20:00",0.8316,0.0425,"1X",1.5,"pinnacle",3.8,6.96,3.16,1.4575,,,,
"FC Juárez vs Pachuca","2025-11-23 20:00",0.8316,0.04,"X2",1.5,"pinnacle",3.8,6.96,3.16,1.46,,,,
"Elche CF vs Real Madrid","2025-11-23 15:00",0.8166,0.1164,"1X",3.29,"marathonbet",2.89,5.25,2.36,3.1736,7.25,5.25,1.38,5.3
"Elche CF vs Real Madrid","2025-11-23 15:00",0.8166,0.0153,"X2",1.1,"marathonbet",2.89,5.25,2.36,1.0847,7.25,5.25,1.38,5.3
"Genoa vs Hellas Verona","2025-11-29 09:00",0.815,0.072,"X2",1.77,"marathonbet",3.73,6.77,3.04,1.698,,,,
"Sporting Lisbon vs Club Brugge","2025-11-26 15:00",0.8143,0.0248,"1X",1.22,"marathonbet",3.07,5.57,2.5,1.1952,1.71,4.1,4.4,5.6
"Sporting Lisbon vs Club Brugge","2025-11-26 15:00",0.8143,0.0882,"X2",2.23,"marathonbet",3.07,5.57,2.5,2.1418,1.71,4.1,4.4,5.6
"Sao Paulo vs Juventude","2025-11-23 14:00",0.8056,0.0294,"1X",1.14,"pinnacle",4.32,7.8,3.48,1.1106,1.6,3.9,5.75,5.53
"Casa Pia vs Alverca","2025-11-29 10:30",0.8053,0.0363,"1X",1.38,"pinnacle",4.88,8.81,3.93,1.3437,2.45,3.1,2.95,6.97
"Casa Pia vs Alverca","2025-11-29 10:30",0.8053,0.0577,"X2",1.54,"pinnacle",4.88,8.81,3.93,1.4823,2.45,3.1,2.95,6.97
"FC Copenhagen vs FC Kairat","2025-11-26 12:45",0.8025,0.0261,"1X",1.09,"marathonbet",3.14,5.66,2.52,1.0639,1.34,5.25,8.25,5.8
"AC Milan vs Lazio","2025-11-29 14:45",0.7784,0.034,"1X",1.17,"marathonbet",3.79,6.74,2.95,1.136,,,,
"AC Milan vs Lazio","2025-11-29 14:45",0.7784,0.08,"X2",2.32,"marathonbet",3.79,6.74,2.95,2.24,,,,
"Lille vs Paris FC","2025-11-23 14:45",0.7677,0.0191,"1X",1.19,"marathonbet",3.1,5.48,2.38,1.1709,1.65,4.1,5.0,5.0
"Lille vs Paris FC","2025-11-23 14:45",0.7677,0.0696,"X2",2.33,"marathonbet",3.1,5.48,2.38,2.2604,1.65,4.1,5.0,5.0
"Chelsea vs Barcelona","2025-11-25 15:00",0.7634,0.0517,"1X",1.49,"marathonbet",3.17,5.59,2.42,1.4383,,,,
"Brentford vs Burnley","2025-11-29 10:00",0.7619,0.174,"X2",2.73,"betsson",3.78,6.66,2.88,2.556,,,,
"AS Roma vs FC Midtjylland","2025-11-27 12:45",0.7595,0.019,"1X",1.12,"betsson",3.41,6.0,2.59,1.101,1.46,4.75,6.25,5.55
"AS Roma vs FC Midtjylland","2025-11-27 12:45",0.7595,0.1359,"X2",2.86,"betsson",3.41,6.0,2.59,2.7241,1.46,4.75,6.25,5.55
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.7564,0.04,"X2",1.34,"marathonbet",3.12,5.48,2.36,1.3,,,,
"Brest vs Metz","2025-11-23 11:15",0.7548,0.0817,"X2",2.12,"marathonbet",3.1,5.44,2.34,2.0383,,,,
"Borussia Dortmund vs Villarreal","2025-11-25 15:00",0.7548,0.04,"X2",2.09,"marathonbet",3.1,5.44,2.34,2.05,,,,
"Slavia Praha vs Athletic Bilbao","2025-11-25 15:00",0.7508,0.04,"X2",1.44,"marathonbet",3.17,5.55,2.38,1.4,,,,
"Bodø/Glimt vs Juventus","2025-11-25 15:00",0.742,0.0367,"1X",1.73,"marathonbet",3.14,5.47,2.33,1.6933,,,,
"Grêmio vs Palmeiras","2025-11-25 19:30",0.74,0.0917,"1X",1.78,"pinnacle",5.0,8.7,3.7,1.6883,,,,
"Espanyol vs Sevilla","2025-11-24 15:00",0.7354,0.033,"1X",1.29,"marathonbet",3.25,5.64,2.39,1.257,2.0,3.4,3.7,6.44
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.7336,0.015,"1X",1.1,"marathonbet",2.89,5.01,2.12,1.085,,,,
"Arsenal vs Tottenham Hotspur","2025-11-23 11:30",0.7336,0.0917,"X2",3.03,"marathonbet",2.89,5.01,2.12,2.9383,,,,
"Pafos FC vs AS Monaco","2025-11-26 12:45",0.7219,0.0217,"X2",1.18,"marathonbet",3.2,5.51,2.31,1.1583,,,,
"Ajax vs Benfica","2025-11-25 12:45",0.7038,0.0383,"1X",1.94,"marathonbet",3.14,5.35,2.21,1.9017,,,,
"Ajax vs Benfica","2025-11-25 12:45",0.7038,0.0267,"X2",1.28,"marathonbet",3.14,5.35,2.21,1.2533,,,,
"Paris Saint Germain vs Tottenham Hotspur","2025-11-26 15:00",0.7006,0.0283,"1X",1.13,"marathonbet",3.24,5.51,2.27,1.1017,,,,
"Galatasaray vs Union Saint-Gilloise","2025-11-25 12:45",0.6981,0.0217,"1X",1.19,"marathonbet",3.18,5.4,2.22,1.1683,1.6,4.33,5.0,5.59
"Galatasaray vs Union Saint-Gilloise","2025-11-25 12:45",0.6981,0.0456,"X2",2.41,"marathonbet",3.18,5.4,2.22,2.3644,1.6,4.33,5.0,5.59
"Arsenal vs Bayern Munich","2025-11-26 15:00",0.6887,0.034,"1X",1.38,"marathonbet",3.18,5.37,2.19,1.346,,,,
"Atlético Madrid vs Inter Milan","2025-11-26 15:00",0.6832,0.0217,"1X",1.4,"marathonbet",3.22,5.42,2.2,1.3783,,,,
"Olympiakos Piraeus vs Real Madrid","2025-11-26 15:00",0.6783,0.078,"1X",3.1,"marathonbet",3.14,5.27,2.13,3.022,,,,
"Olympiakos Piraeus vs Real Madrid","2025-11-26 15:00",0.6783,0.016,"X2",1.11,"marathonbet",3.14,5.27,2.13,1.094,,,,
"Mirassol vs Ceará","2025-11-24 17:00",0.6771,0.1233,"X2",2.29,"pinnacle",5.11,8.57,3.46,2.1667,,,,
"Sassuolo vs Pisa","2025-11-24 14:45",0.6692,0.026,"1X",1.28,"marathonbet",3.9,6.51,2.61,1.254,,,,
"Sassuolo vs Pisa","2025-11-24 14:45",0.6692,0.056,"X2",1.78,"marathonbet",3.9,6.51,2.61,1.724,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.6667,0.04,"1X",1.59,"marathonbet",3.09,5.15,2.06,1.55,,,,
"Hellas Verona vs Parma","2025-11-23 06:30",0.6656,0.05,"X2",1.67,"pinnacle",3.26,5.43,2.17,1.62,,,,
"Auxerre vs Lyon","2025-11-23 09:00",0.6646,0.0567,"1X",1.8,"marathonbet",3.19,5.31,2.12,1.7433,,,,
"Manchester United vs Everton","2025-11-24 15:00",0.6612,0.025,"1X",1.23,"marathonbet",3.07,5.1,2.03,1.205,,,,
"Manchester United vs Everton","2025-11-24 15:00",0.6612,0.05,"X2",2.13,"marathonbet",3.07,5.1,2.03,2.08,,,,
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.6577,0.0287,"1X",1.44,"pinnacle",3.33,5.52,2.19,1.4113,2.55,3.1,2.87,6.32
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.6577,0.0314,"X2",1.55,"pinnacle",3.33,5.52,2.19,1.5186,2.55,3.1,2.87,6.32
"Fortuna Sittard vs Heracles Almelo","2025-11-29 12:45",0.6552,0.122,"X2",1.8624,"bwin",5.51,9.12,3.61,1.7404,1.93,3.7,3.75,5.51
