Rank,Partido,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Premium,Value_Score_Pct,Inverso_Margen_Casa,Score_Final,Fecha_Hora_COT,Liga
1,"Vancouver Whitecaps FC vs Los Angeles FC","1X",1.38,"pinnacle",3.36,7.46,4.1,0.08,54.96,1.64,2.201,"2025-11-22 21:30","MLS"
2,"FC Cincinnati vs Inter Miami CF","X2",1.42,"pinnacle",3.44,7.2,3.76,0.12,52.22,1.56,2.046,"2025-11-23 17:00","MLS"
3,"Fiorentina vs Juventus","X2",1.3,"marathonbet",2.85,5.19,2.34,0.0,45.09,2.15,1.483,"2025-11-22 12:00","Serie A"
4,"Borussia Monchengladbach vs RB Leipzig","X2",1.39,"marathonbet",3.21,5.57,2.36,0.09,42.37,1.79,1.4515,"2025-11-28 14:30","Bundesliga"
5,"Napoli vs Atalanta BC","1X",1.37,"marathonbet",2.84,5.04,2.2,0.07,43.65,2.16,1.4465,"2025-11-22 14:45","Serie A"
6,"Mallorca vs CA Osasuna","1X",1.4,"marathonbet",3.24,5.47,2.23,0.1,40.77,1.76,1.3905,"2025-11-29 08:00","La Liga"
7,"Newcastle United vs Manchester City","X2",1.31,"marathonbet",2.63,4.64,2.01,0.01,43.32,2.37,1.382,"2025-11-22 12:30","Premier League"
8,"Central Córdoba vs San Lorenzo","1X",1.38,"pinnacle",3.28,5.49,2.21,0.08,40.26,1.72,1.3665,"2025-11-22 20:00","Primera División"
9,"Oviedo vs Rayo Vallecano","X2",1.35,"marathonbet",3.19,5.32,2.13,0.05,40.04,1.81,1.338,"2025-11-23 08:00","La Liga"
10,"Metz vs Rennes","X2",1.31,"marathonbet",3.17,5.32,2.15,0.01,40.41,1.83,1.337,"2025-11-28 14:45","Ligue 1"
11,"Excelsior vs NAC Breda","1X",1.35,"betsson",4.97,7.64,2.67,0.05,34.95,0.03,1.225,"2025-11-29 10:30","Eredivisie"
12,"KRC Genk vs FC Basel","1X",1.32,"betsson",3.28,5.2,1.92,0.02,36.92,1.72,1.215,"2025-11-27 15:00","Europa League"
13,"Arsenal vs Bayern Munich","1X",1.37,"marathonbet",3.11,4.91,1.8,0.07,36.66,1.89,1.2125,"2025-11-26 15:00","Champions League"
14,"Atlético Madrid vs Inter Milan","1X",1.41,"marathonbet",3.18,4.85,1.67,0.11,34.43,1.82,1.154,"2025-11-26 15:00","Champions League"
15,"Heerenveen vs AZ Alkmaar","X2",1.42,"pinnacle",3.91,5.87,1.96,0.12,33.39,1.09,1.142,"2025-11-23 06:15","Eredivisie"
16,"Auxerre vs Lyon","X2",1.32,"pinnacle",3.46,5.25,1.79,0.02,34.1,1.54,1.1205,"2025-11-23 09:00","Ligue 1"
17,"SC Telstar vs FC Utrecht","X2",1.35,"pinnacle",4.08,6.0,1.92,0.05,32.0,0.92,1.0655,"2025-11-23 08:30","Eredivisie"
18,"Casa Pia vs Alverca","1X",1.38,"pinnacle",4.88,6.96,2.08,0.08,29.89,0.12,0.988,"2025-11-29 10:30","Primeira Liga"
19,"Bodø/Glimt vs Juventus","X2",1.41,"betsson",3.56,4.97,1.41,0.11,28.37,1.44,0.961,"2025-11-25 15:00","Champions League"
20,"Hellas Verona vs Parma","1X",1.33,"marathonbet",3.91,5.5,1.59,0.03,28.91,1.09,0.944,"2025-11-23 06:30","Serie A"
21,"Torino vs Como","X2",1.33,"marathonbet",3.85,5.38,1.53,0.03,28.44,1.15,0.929,"2025-11-24 12:30","Serie A"
22,"Rangers FC vs SC Braga","X2",1.39,"marathonbet",3.81,5.04,1.23,0.09,24.4,1.19,0.823,"2025-11-27 15:00","Europa League"
23,"Tijuana vs Tigres","X2",1.3,"pinnacle",5.13,6.26,1.13,0.0,18.05,-0.13,0.4825,"2025-11-26 16:00","Liga MX"
24,"Internacional vs Santos","1X",1.31,"coral",5.64,6.7,1.06,0.01,15.82,-0.64,0.3525,"2025-11-24 19:00","Brasileirão"
25,"Sport Recife vs Vitoria","X2",1.34,"coral",6.12,6.62,0.5,0.04,7.55,-1.12,0.015,"2025-11-23 16:30","Brasileirão"
26,"Viktoria Plzeň vs SC Freiburg","X2",1.39,"unibet",5.93,5.55,-0.38,0.09,-6.85,-0.93,-0.3255,"2025-11-27 12:45","Europa League"